"","project","date","fire_scar","ID","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","horizon","mineral_depth","min_coregrab","mineral_notes","general_notes"
"178","CCE","2024-08-07","McCoy Creek",178,"McCr3C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","Hit frozen ground",""
"179","CCE","2024-08-07","McCoy Creek",179,"McCr3C",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","Hit frozen ground",""
"180","CCE","2024-07-28","McCoy Creek",180,"McCr4A",3.5,4,9.5,10.5,12,12,"Organic primarily char and charred CWD","O",NA,NA,NA,""
"181","CCE","2024-07-28","McCoy Creek",181,"McCr4A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","Top of mineral appears mixed with organic, lots of fine roots",""
"182","CCE","2024-07-28","McCoy Creek",182,"McCr4A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","Top of mineral appears mixed with organic, lots of fine roots",""
"183","CCE","2024-07-28","McCoy Creek",183,"McCr4B",1.5,1.5,9,9.5,10,10.5,"","O",NA,NA,NA,"AR tree uprooted, measuring adventitious roots to remaining mineral soil on roots, only organic on AR tree is green moss"
"184","CCE","2024-07-28","McCoy Creek",184,"McCr4B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","AR tree uprooted, measuring adventitious roots to remaining mineral soil on roots, only organic on AR tree is green moss"
"185","CCE","2024-07-28","McCoy Creek",185,"McCr4B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","","AR tree uprooted, measuring adventitious roots to remaining mineral soil on roots, only organic on AR tree is green moss"
"186","CCE","2024-07-28","McCoy Creek",186,"McCr4C",1.5,1.5,10,9.5,12,11.5,"","O",NA,NA,NA,""
"187","CCE","2024-07-28","McCoy Creek",187,"McCr4C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"188","CCE","2024-07-28","McCoy Creek",188,"McCr4C",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"189","CCE","2024-07-28","McCoy Creek",189,"McCr5A",37,38,9,8,14,12,"Frozen ground before mineral","O",NA,NA,NA,""
"190","CCE","2024-07-28","McCoy Creek",190,"McCr5B",36,38,12,10,11,10,"","O",NA,NA,NA,""
"191","CCE","2024-07-28","McCoy Creek",191,"McCr5B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"192","CCE","2024-07-28","McCoy Creek",192,"McCr5B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"193","CCE","2024-07-28","McCoy Creek",193,"McCr5C",40,38,9,11,10,7,"","O",NA,NA,NA,"No m2 sample, hit frozen ground at bottom of m1 sample"
"194","CCE","2024-07-28","McCoy Creek",194,"McCr5C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","","No m2 sample, hit frozen ground at bottom of m1 sample"
"195","CCE","2024-07-29","McCoy Creek",195,"McCr6A",23,25,12,8,10,11,"","O",NA,NA,NA,""
"196","CCE","2024-07-29","McCoy Creek",196,"McCr6A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"197","CCE","2024-07-29","McCoy Creek",197,"McCr6A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"198","CCE","2024-07-29","McCoy Creek",198,"McCr6B",27,24,11,9,11.5,23,"","O",NA,NA,NA,""
"199","CCE","2024-07-29","McCoy Creek",199,"McCr6B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"200","CCE","2024-07-29","McCoy Creek",200,"McCr6B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"201","CCE","2024-07-29","McCoy Creek",201,"McCr6C",20,19,10,11,11.5,10,"","O",NA,NA,NA,"Sample taken at 3.5 m because of large CWD, water filling hole as coring"
"202","CCE","2024-07-29","McCoy Creek",202,"McCr6C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Both","M1 sample taken with corer, M2 sample grab below core hole, likely influenced by standing water","Sample taken at 3.5 m because of large CWD, water filling hole as coring"
"203","CCE","2024-08-01","Munson Creek",203,"MuCr1A",14,13.5,10,10,10,10.5,"","O",NA,NA,NA,""
"204","CCE","2024-08-01","Munson Creek",204,"MuCr1A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"205","CCE","2024-08-01","Munson Creek",205,"MuCr1A",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"206","CCE","2024-08-01","Munson Creek",206,"MuCr1B",7.5,4.5,10.5,11.5,11,10,"","O",NA,NA,NA,""
"207","CCE","2024-08-01","Munson Creek",207,"MuCr1B",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
"208","CCE","2024-08-01","Munson Creek",208,"MuCr1B",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","",""
"209","CCE","2024-08-01","Munson Creek",209,"MuCr1C",10.5,5,10.5,11,12.5,12,"SOL is uneven, so sample may contain some mineral","O",NA,NA,NA,""
"210","CCE","2024-08-01","Munson Creek",210,"MuCr1C",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","Odd organic deposit below m1 and mixed with m2. Bottom 6 cm of mineral core ",""
"211","CCE","2024-08-01","Munson Creek",211,"MuCr1C",NA,NA,NA,NA,NA,NA,NA,"M2",5,"Core","Odd organic deposit below m1 and mixed with m2. Bottom 6 cm of mineral core ",""
"212","CCE","2024-08-01","Munson Creek",212,"MuCr2A",9.5,8,11,11,11,10,"Bottom uneven due to rocks","O",NA,NA,NA,""
"213","CCE","2024-08-01","Munson Creek",213,"MuCr2B",22,20,9,11,10,11,"","O",NA,NA,NA,""
"214","CCE","2024-08-01","Munson Creek",214,"MuCr2B",NA,NA,NA,NA,NA,NA,NA,"M1",999,"Grab","Removed 10 cm of rock between org and min. Took grab sample below that, unknown depth. In M1 bag. Still very rocky. ",""
"215","CCE","2024-08-01","Munson Creek",215,"MuCr2C",22,24,10.5,11,13,11,"Sample taken from a burned sphagnum hummock. Mosaics of hummocks across hillside","O",NA,NA,NA,"Sample taken on sphagnum hummock. No nearby trees also in hummock, tree AR measured at was burned almost to rock. "
"216","CCE","2024-08-01","Munson Creek",216,"MuCr2C",NA,NA,NA,NA,NA,NA,NA,"M1",4,"Grab","Too rocky to sample mineral. Removed 12 cm of rock and took grab sample of about 4 cm. Contains charcoal! In M1 bag. ","Sample taken on sphagnum hummock. No nearby trees also in hummock, tree AR measured at was burned almost to rock. "
"217","CCE","2024-08-01","Munson Creek",217,"MuCr3A",22,20,10,10,11,10.5,"","O",NA,NA,NA,""
"218","CCE","2024-08-01","Munson Creek",218,"MuCr3A",NA,NA,NA,NA,NA,NA,NA,"M1",5,"Core","",""
