date,fire_scar,site,plot,location,site_notes,seedlings_present,species_,seedling_count,seedling_notes,bd1,bd2,bd3,photos
7/23/2025,Globe,GLOB5,B,6 m,,yes,birch,1,,0.05,NA,NA,e82ebfc6-b2cf-4a90-b631-348d289d6ee5
7/25/2025,McDonald,MCDO2,B,6 m,,no,NA,NA,NA,NA,NA,NA,5c1a5ede-e40c-4cb0-8a36-0ec8418cd94e
8/5/2025,Troublesome,TROU4,C,6 m,,yes,black spruce,4,,0.12,0.12,0.12,b0af785f-18d7-4c06-9a50-6f08a70122b7
8/2/2025,Troublesome,TROU1,B,6 m,,no,NA,NA,NA,NA,NA,NA,478447e6-53e3-4b92-a8c5-3af62c2adf00
7/27/2025,Slate,SLAT5,A,3 m,,yes,black spruce,1,,0.01,NA,NA,9d038771-983a-4c55-9bd1-4c663dc51fdd
7/27/2025,Slate,SLAT6,A,9 m,,no,NA,NA,NA,NA,NA,NA,5714fcbb-734a-4ce6-af07-8de6a3956177
8/3/2025,Chitanana,CHIT4,C,6 m,,yes,black spruce,1,Below 0.05,NA,NA,NA,f1dd5e08-5fb4-4553-ac06-e1f2775c08e2
7/22/2025,Aggie,AGCR6,B,6 m,,yes,black spruce,4,,0.39,0.2,0.17,a9dc5026-2fca-4aef-a521-3b623775c1eb
7/22/2025,Aggie,AGCR6,B,6 m,,yes,birch,7,,0.11,0.3,0.21,a9dc5026-2fca-4aef-a521-3b623775c1eb
8/5/2025,Troublesome,TROU4,B,3 m,,no,NA,NA,NA,NA,NA,NA,fb39e2a9-9740-42bc-a124-acc83255e6b8
8/2/2025,Troublesome,TROU2,C,3 m,,no,NA,NA,NA,NA,NA,NA,42be5835-ca64-4314-a357-fed314440db2
7/31/2025,Globe,GLOB3,A,6 m,,no,NA,NA,NA,NA,NA,NA,c84a075f-48ab-48c1-b6fa-408ebdc447e9
8/5/2025,Troublesome,TROU5,A,6 m,,yes,black spruce,1,Too small to measure,NA,NA,NA,0ef72cea-9df6-4641-b090-5b0d8d6abf40
8/8/2025,Isom,ISOM2,C,9 m,,no,NA,NA,NA,NA,NA,NA,57b9b685-e194-4f8e-a780-3fda89de97f4
8/3/2025,Chitanana,CHIT3,C,9 m,,yes,larch,4, ,0.55,0.42,0.39,bb5394e4-c540-4dd6-afa3-3a7b409af61a
7/26/2025,Slate,SLAT3,C,9 m,,no,NA,NA,NA,NA,NA,NA,d29ee68d-ba63-4d98-a190-42c39152429e
7/23/2025,Globe,GLOB5,A,9 m,,yes,birch,4,,0.04,0.03,0.06,7ac81787-5898-42a1-9364-819191dfb25e
7/23/2025,Globe,GLOB5,A,9 m,,yes,black spruce,8,"Very very tiny seedlings, difficult to measure basal diameter",0.08,0.05,0.01,7ac81787-5898-42a1-9364-819191dfb25e
7/23/2025,Globe,GLOB5,B,3 m,,yes,black spruce,6,,0.01,0.02,0.02,72229ad7-0aca-411e-8f79-6ff1b57e8b7a
7/23/2025,Globe,GLOB4,B,9 m,,yes,birch,2,,0.07,0.04,NA,8eeb3d23-ae7b-4657-a31c-df85dc2a1852
8/5/2025,Troublesome,TROU5,C,9 m,,no,NA,NA,NA,NA,NA,NA,b57848a0-8e6d-4721-8c88-021553893b70
7/31/2025,Globe,GLOB3,C,3 m,,yes,black spruce,5,Tiny below 0.05,NA,NA,NA,343e728d-6a63-4650-bf18-fa29c0b05080
7/25/2025,McDonald,MCDO3,C,9 m,,yes,black spruce,23,All VERY small,0.03,0.07,0.06,e97fee73-2231-48db-992b-9be8ed24757c
7/26/2025,Slate,SLAT2,C,6 m,,yes,black spruce,8,All below 0.05,0.05,0.05,0.05,ae8f4fc5-f14d-4d8e-a039-74d566c1c353
8/8/2025,Isom,ISOM2,B,6 m,,no,NA,NA,NA,NA,NA,NA,809d775b-165e-41f8-b119-d988b43dcb18
8/1/2025,Yukon Creek,YUCR1,A,6 m,,yes,birch,1,,0.34,NA,NA,3c76a1ab-b72b-417f-aee2-2b620e749009
8/1/2025,Yukon Creek,YUCR1,A,6 m,,yes,black spruce,2,,0.16,0.1,NA,3c76a1ab-b72b-417f-aee2-2b620e749009
7/21/2025,Aggie,AGCR1,A,3 m,"Took seedlings and shrub data separately on notebook, photo has iPad cover smudge",yes,birch,16,,0.54,0.33,0.32,bcc59194-ee4c-45b8-8ac7-692d4beddf11
7/21/2025,Aggie,AGCR1,A,3 m,"Took seedlings and shrub data separately on notebook, photo has iPad cover smudge",yes,black spruce,5,,1.49,0.76,0.16,bcc59194-ee4c-45b8-8ac7-692d4beddf11
8/5/2025,Troublesome,TROU5,B,6 m,,yes,black spruce,1,Too small to measure,NA,NA,NA,482772d8-5251-42dd-8cf6-a1532611e597
