date,fire_scar,site,plot,CollectionID,location (m),green_moss,depth1,org_hit,thaw_d,thaw_hit,ar_sol_depth1,ar_sol_hit,ar_height1,ar_height2,ar_height3,collected,sample_id,sample_depth1,sample_depth2,sample_width1,sample_width2,sample_length1,sample_length2,organic_notes,min_depth,m1_depth1,m1_depth2,m2_depth1,m2_depth_2,min_coregrab,mineral_notes,general_notes,sample_photo
7/22/25,Aggie,AGCR4 ,C,AGCR4 C6,6,7,13,"Mineral,Water",85,"Frozen Ground,Rock",NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/22/25,Aggie,AGCR4 ,C,AGCR4 C9,9,5,23,"Mineral,Water",112,Frozen Ground,NA,,NA,NA,NA,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/4/25,Yukon Creek,YUCR4,C,YUCR4C3,3,0,1,Mineral,46,Mineral,2,Mineral,6,9,14,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/4/25,Yukon Creek,YUCR4,C,YUCR4C6,6,0,0,Mineral,35,Mineral,3,Mineral,21,18,NA,yes,C6,10.5,11,9,9.5,10,9.5,Had to go farther then 1 meter away from the transect to find organic,NA,NA,NA,NA,NA,,,,NA
8/4/25,Yukon Creek,YUCR4,C,YUCR4C9,9,1,1.5,Mineral,34,Mineral,2,Mineral,28,23,18,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/25/25,McDonald,MCDO1,B,MCDO1B3,3,0,14,Mineral,90,Frozen Ground,26,Mineral,5,6,7,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
7/25/25,McDonald,MCDO1,B,MCDO1B6,6,0,12,Mineral,80,Frozen Ground,7,Mineral,4,6,10,yes,Mcdo1b,12,12,9,11,10.5,10.5,,NA,5,5,5,5,Core,,,NA
7/25/25,McDonald,MCDO1,B,MCDO1B9,9,0,9.5,Mineral,85,Frozen Ground,4.5,Mineral,9,8.5,13,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/2/25,Troublesome,TROU1,A,TROU1A3,3,0.1,13,Mineral,30,Rock,8,Mineral,6,2,6,no,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,,,,NA
8/2/25,Troublesome,TROU1,A,TROU1A6,6,0,8.5,Mineral,62,Rock,11,Mineral,8,10,5,yes,A6,8.5,8,10.5,10,11,11,,NA,5,NA,5,NA,Core,,,NA
