date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,count,livedead,tree_notes,photos
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,3.1,NA,NA,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,1.9,NA,NA,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,NA,2,0,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,1.3,NA,NA,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,1.2,NA,0,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,3.9,NA,0,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,5.4,NA,0,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,0.4,NA,NA,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,NA,1.8,NA,75,50,25,25,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,0.3,NA,NA,25,25,25,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,no,no,0.5,NA,NA,25,25,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,1.1,NA,NA,50,50,25,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,yes,1.3,NA,NA,NA,NA,NA,25,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,NA,1,NA,50,25,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,1.7,NA,NA,50,50,25,25,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,3.3,NA,0,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,NA,1.2,NA,50,25,25,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,2.1,NA,25,25,25,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,4.6,NA,0,25,25,25,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,1.3,NA,NA,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,2.1,NA,NA,25,25,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,larch,yes,no,NA,0.6,NA,25,0,0,0,3,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,0.6,NA,NA,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,NA,1.8,NA,75,50,25,0,NA,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,NA,0.4,NA,25,0,0,0,3,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,3.8,NA,0,25,0,0,0,NA,,,
7/29/2025,McDonald,MCDO4,C,larch,yes,no,NA,0.3,NA,25,0,0,0,2,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,NA,0.6,NA,25,0,0,0,3,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,NA,2,0,25,0,0,0,2,,,
7/29/2025,McDonald,MCDO4,C,black spruce,yes,no,NA,1.2,NA,25,25,0,0,NA,,,
