"","project","date","fire_scar","site","plot","tree_species","standing","snag_pre_fire","dbh","basal_diameter","cone_combustion","foliage_combustion","fine_combustion","coarse_combustion","stem_combustion","livedead","tree_notes"
"573","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",NA,2.4,NA,25,25,25,0,"dead",""
"574","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",NA,1.6,NA,100,100,75,0,"dead",""
"575","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",NA,2.4,NA,100,100,100,50,"dead",""
"576","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",NA,2.6,NA,75,50,50,0,"dead",""
"577","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",6.7,NA,NA,100,100,75,25,"dead",""
"578","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",0.8,NA,NA,100,100,75,25,"dead",""
"579","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",1.8,NA,0,75,75,50,0,"dead",""
"580","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",2.2,NA,50,75,75,75,0,"dead",""
"581","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",NA,1.8,NA,100,100,100,0,"dead",""
"582","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",NA,1.3,NA,25,0,0,0,"dead",""
"583","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",8.5,NA,100,100,100,100,25,"dead",""
"584","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",3.4,NA,0,75,75,50,0,"dead",""
"585","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",9.3,NA,100,100,100,100,25,"dead",""
"586","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",2.2,NA,NA,100,100,100,25,"dead",""
"587","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",2,NA,NA,75,75,25,0,"dead",""
"588","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",1.1,NA,NA,75,50,25,0,"dead",""
"589","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",3.1,NA,0,100,100,75,0,"dead",""
"590","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",0.7,NA,NA,100,100,75,0,"dead",""
"591","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",1.7,NA,NA,100,100,75,0,"dead",""
"592","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","yes","no",2,NA,0,50,50,50,25,"dead",""
"593","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",NA,2.6,NA,100,100,100,50,"dead",""
"594","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",5.6,NA,0,75,75,50,0,"dead",""
"595","CCE","2024-07-28","McCoy Creek","McCr4","B","black spruce","no","no",11,NA,25,100,75,75,0,"dead",""
"596","CCE","2024-08-05","Dry Creek","DrCr1","B","black spruce","yes","yes",6.7,NA,NA,NA,NA,NA,50,"dead",""
"597","CCE","2024-08-05","Dry Creek","DrCr1","B","black spruce","yes","no",4,NA,0,50,50,25,0,"dead",""
"598","CCE","2024-08-05","Dry Creek","DrCr1","B","black spruce","yes","yes",7.2,NA,NA,NA,NA,NA,25,"dead",""
"599","CCE","2024-08-05","Dry Creek","DrCr1","B","black spruce","yes","no",9.8,NA,100,50,50,0,0,"dead",""
"600","CCE","2024-08-05","Dry Creek","DrCr1","B","black spruce","yes","no",2.8,NA,NA,0,0,0,0,"dead",""
"601","CCE","2024-08-05","Dry Creek","DrCr1","B","black spruce","yes","yes",7.9,NA,NA,NA,NA,NA,0,"dead",""
"602","CCE","2024-08-05","Dry Creek","DrCr1","B","black spruce","yes","no",6,NA,25,25,25,0,0,"dead",""
"603","CCE","2024-08-05","Dry Creek","DrCr1","B","black spruce","yes","no",9.3,NA,50,75,75,75,0,"dead",""
"604","CCE","2024-08-05","Dry Creek","DrCr1","B","black spruce","yes","no",NA,2.1,NA,75,75,25,0,"dead",""
"605","CCE","2024-08-05","Dry Creek","DrCr1","C","black spruce","yes","no",5.1,NA,100,75,75,0,0,"dead",""
"606","CCE","2024-08-05","Dry Creek","DrCr1","C","black spruce","yes","no",1.2,NA,NA,50,50,0,0,"dead",""
"607","CCE","2024-08-05","Dry Creek","DrCr1","C","black spruce","yes","no",7.1,NA,75,75,75,0,0,"dead",""
"608","CCE","2024-08-05","Dry Creek","DrCr1","C","black spruce","yes","no",5.5,NA,100,100,100,50,0,"dead",""
"609","CCE","2024-08-05","Dry Creek","DrCr1","C","black spruce","yes","no",7.3,NA,100,100,100,75,0,"dead",""
"610","CCE","2024-08-05","Dry Creek","DrCr1","C","black spruce","yes","no",4.2,NA,NA,100,100,0,0,"dead",""
"611","CCE","2024-08-05","Dry Creek","DrCr1","C","black spruce","yes","no",6.8,NA,100,100,100,75,0,"dead",""
"612","CCE","2024-08-05","Dry Creek","DrCr1","C","black spruce","yes","no",5.7,NA,100,100,100,75,0,"dead",""
"613","CCE","2024-08-05","Dry Creek","DrCr1","C","black spruce","yes","no",5.4,NA,25,0,0,0,0,"dead",""
"614","CCE","2024-08-05","Dry Creek","DrCr1","C","black spruce","yes","no",11.2,NA,75,75,75,75,0,"dead",""
"615","CCE","2024-08-05","Dry Creek","DrCr1","C","black spruce","yes","no",8,NA,75,75,75,50,0,"dead",""
"616","CCE","2024-08-05","Dry Creek","DrCr1","C","black spruce","no","yes",7.7,NA,NA,NA,NA,NA,25,"dead",""
"617","CCE","2024-08-02","Teklanika","Tekl5","A","black spruce","yes","no",4.8,NA,100,100,100,100,0,"dead",""
