"","project","fire_scar","site","additional_species","additional_species_notes"
"45","CCE","McCoy Creek","McCr1","Calamagrostis canadensis",""
"46","CCE","McCoy Creek","McCr1","Sphagnum ",""
"47","CCE","McCoy Creek","McCr4","Equisetum sylvaticum",""
"48","CCE","McCoy Creek","McCr4","Vaccinium vitis-idaea",""
"49","CCE","McCoy Creek","McCr4","Solidago spp",""
"50","CCE","McCoy Creek","McCr4","Rosa acicularis",""
"51","CCE","McCoy Creek","McCr4","Taraxacum officionale ",""
"52","CCE","McCoy Creek","McCr5","Spiraea beauverdiana (stevenii)",""
"53","CCE","McCoy Creek","McCr6",NA,""
"54","CCE","McCoy Creek","McCr2","Betula nana",""
"55","CCE","McCoy Creek","McCr2","Rosa acicularis",""
"56","CCE","McCoy Creek","McCr2","Salix spp",""
"57","CCE","Nugget Creek","NuCr3","Vaccinium vitis-idaea",""
"58","CCE","Nugget Creek","NuCr1","Vaccinium uliginosum",""
"59","CCE","Nugget Creek","NuCr1","Unburned Foliose Lichen",""
"60","CCE","Nugget Creek","NuCr1","Pleurozium ",""
"61","CCE","Nugget Creek","NuCr2","Asteraceae spp",""
"62","CCE","Nugget Creek","NuCr4",NA,""
"63","CCE","Nugget Creek","NuCr5","Salix spp",""
"64","CCE","Nugget Creek","NuCr5","Betula neoalaskana",""
"65","CCE","Nugget Creek","NuCr5","Rosa acicularis",""
"66","CCE","Nugget Creek","NuCr6","Asteraceae spp",""
"67","CCE","Munson Creek","MuCr1","Cornus canadensis",""
"68","CCE","Munson Creek","MuCr1","Equisetum scirpoides",""
"69","CCE","Munson Creek","MuCr1","Alnus viridis",""
"70","CCE","Munson Creek","MuCr1","Solidago multiradiata",""
"71","CCE","Munson Creek","MuCr1","Pyrola spp",""
"72","CCE","Munson Creek","MuCr2",NA,""
"73","CCE","Munson Creek","MuCr3","Alnus viridis",""
"74","CCE","Munson Creek","MuCr3","Epilobium angustifolium [Chamerion angustifolium]",""
"75","CCE","Teklanika","Tekl4","Marchantia polymorpha",""
"76","CCE","Teklanika","Tekl4","Epilobium angustifolium [Chamerion angustifolium]",""
"77","CCE","Teklanika","Tekl5",NA,""
"78","CCE","Teklanika","Tekl6",NA,""
"79","CCE","Teklanika","Tekl1","Stellaria longipes",""
"80","CCE","Teklanika","Tekl1","Betula neoalaskana",""
"81","CCE","Teklanika","Tekl1","Populus tremuloides",""
"82","CCE","Teklanika","Tekl1","Irisitosa spp",""
"83","CCE","Teklanika","Tekl2","Betula nana",""
"84","CCE","Teklanika","Tekl2","Capinoides semprevirens ",""
"85","CCE","Teklanika","Tekl3","Petasites frigidus",""
"86","CCE","Munson Creek","MuCr4","Capinoides semprevirens",""
"87","CCE","Munson Creek","MuCr5","Epilobium angustifolium [Chamerion angustifolium]",""
"88","CCE","Dry Creek","DrCr1","Equisetum scirpoides",""
"89","CCE","Dry Creek","DrCr1","Sphagnum",""
"90","CCE","Dry Creek","DrCr2","Equisetum arvense",""
"91","CCE","Dry Creek","DrCr2","Rubus chamaemorus",""
"92","CCE","Dry Creek","DrCr2","Arctostaphylos rubra [Arctous rubra]",""
"93","CCE","Dry Creek","DrCr3",NA,""
"94","CCE","Dry Creek","DrCr4","Salix spp",""
"95","CCE","Dry Creek","DrCr4","Carex spp",""
"96","CCE","Dry Creek","DrCr4","Capinoides semprevirens ",""
"97","CCE","Dry Creek","DrCr5","Orthilia secunda",""
"98","CCE","Dry Creek","DrCr5","Rosa acicularis",""
"99","CCE","Dry Creek","DrCr5","Betula nana",""
"100","CCE","Dry Creek","DrCr6",NA,""
"101","CCE","McCoy Creek","McCr3","Polygonum alpinum",""
"102","CCE","McCoy Creek","McCr3","Cornus canadensis",""
