"","project","date","fire_scar","site","plot","count_1_hr","count_10_hr","count_100_hr","count_1000_hr"
"50","CCE","2024-07-22","Hess Creek","HeCr2","B",0,0,1,3
"51","CCE","2024-07-22","Hess Creek","HeCr2","C",0,1,5,0
"52","CCE","2024-07-22","Hess Creek","HeCr3","A",1,3,0,0
"53","CCE","2024-07-22","Hess Creek","HeCr3","B",1,3,3,0
"54","CCE","2024-07-22","Hess Creek","HeCr3","C",2,3,0,0
"55","CCE","2024-07-23","Hess Creek","HeCr4","A",7,0,0,0
"56","CCE","2024-07-23","Hess Creek","HeCr4","B",3,1,0,0
"57","CCE","2024-07-23","Hess Creek","HeCr4","C",3,0,0,0
"58","CCE","2024-07-23","Hess Creek","HeCr5","C",2,2,1,0
"59","CCE","2024-07-23","Hess Creek","HeCr5","B",7,1,1,0
"60","CCE","2024-07-23","Hess Creek","HeCr5","A",7,2,2,0
"61","CCE","2024-07-23","Hess Creek","HeCr6","C",0,0,0,0
"62","CCE","2024-07-23","Hess Creek","HeCr6","B",1,1,0,0
"63","CCE","2024-07-23","Hess Creek","HeCr6","A",1,0,0,0
"64","CCE","2024-07-25","Haystack","Hays4","A",8,3,1,0
"65","CCE","2024-07-25","Haystack","Hays4","B",4,1,0,0
"66","CCE","2024-07-25","Haystack","Hays4","C",7,1,1,0
"67","CCE","2024-07-25","Haystack","Hays5","B",4,1,1,0
"68","CCE","2024-07-25","Haystack","Hays5","C",4,0,0,0
"69","CCE","2024-07-25","Haystack","Hays5","A",0,0,0,1
"70","CCE","2024-07-25","Haystack","Hays6","A",0,0,0,0
"71","CCE","2024-07-25","Haystack","Hays6","B",10,0,0,0
"72","CCE","2024-07-25","Haystack","Hays6","C",11,1,0,2
"73","CCE","2024-07-28","McCoy Creek","McCr1","A",9,0,0,0
"74","CCE","2024-07-28","McCoy Creek","McCr1","B",7,0,0,0
"75","CCE","2024-07-28","McCoy Creek","McCr1","C",5,0,0,0
"76","CCE","2024-07-28","McCoy Creek","McCr4","A",12,1,5,0
"77","CCE","2024-07-28","McCoy Creek","McCr4","B",35,7,4,3
"78","CCE","2024-07-28","McCoy Creek","McCr4","C",35,3,6,5
"79","CCE","2024-07-29","McCoy Creek","McCr5","A",4,0,0,0
"80","CCE","2024-07-29","McCoy Creek","McCr5","B",1,0,0,0
"81","CCE","2024-07-29","McCoy Creek","McCr5","C",6,0,0,0
"82","CCE","2024-07-29","McCoy Creek","McCr2","A",1,0,0,0
"83","CCE","2024-07-29","McCoy Creek","McCr2","B",1,2,0,0
"84","CCE","2024-07-29","McCoy Creek","McCr2","C",1,0,0,0
"85","CCE","2024-07-29","McCoy Creek","McCr6","A",12,2,0,0
"86","CCE","2024-07-29","McCoy Creek","McCr6","B",10,2,2,0
"87","CCE","2024-07-29","McCoy Creek","McCr6","C",8,0,5,0
"88","CCE","2024-07-30","Nugget Creek","NuCr1","A",3,0,3,0
"89","CCE","2024-07-30","Nugget Creek","NuCr1","B",8,1,0,0
"90","CCE","2024-07-30","Nugget Creek","NuCr1","C",6,2,0,0
"91","CCE","2024-07-30","Nugget Creek","NuCr2","A",6,1,0,1
"92","CCE","2024-07-30","Nugget Creek","NuCr2","B",11,1,0,0
"93","CCE","2024-07-30","Nugget Creek","NuCr2","C",7,0,1,0
"94","CCE","2024-07-30","Nugget Creek","NuCr3","A",5,6,19,3
"95","CCE","2024-07-30","Nugget Creek","NuCr3","B",26,1,13,2
"96","CCE","2024-07-30","Nugget Creek","NuCr3","C",34,5,20,1
"97","CCE","2024-07-31","Nugget Creek","NuCr4","A",6,1,2,0
"98","CCE","2024-07-31","Nugget Creek","NuCr4","B",3,2,1,2
"99","CCE","2024-07-31","Nugget Creek","NuCr4","C",19,5,2,0
"100","CCE","2024-07-31","Nugget Creek","NuCr5","A",19,3,2,0
"101","CCE","2024-07-31","Nugget Creek","NuCr5","B",9,2,3,0
"102","CCE","2024-07-31","Nugget Creek","NuCr5","C",6,0,2,0
"103","CCE","2024-07-31","Nugget Creek","NuCr6","A",2,1,10,4
"104","CCE","2024-07-31","Nugget Creek","NuCr6","B",26,3,15,8
"105","CCE","2024-07-31","Nugget Creek","NuCr6","C",42,9,8,11
