"","date","fire_scar","site","plot","location","site_notes","resprouts_present","resprout_species","resprout_count","resprout_notes","r_bd1","r_bd2"
"342","2024-07-30","Nugget Creek","NuCr3","C","6 m","","no",NA,NA,NA,NA,NA
"343","2024-07-28","McCoy Creek","McCr5","C","3 m","","no",NA,NA,NA,NA,NA
"344","2024-07-16","Shovel Creek","ShCr2","B","9 m","","no",NA,NA,NA,NA,NA
"345","2024-08-05","Dry Creek","DrCr1","A","3 m","","no",NA,NA,NA,NA,NA
"346","2024-07-22","Hess Creek","HeCr2","B","3 m","","no",NA,NA,NA,NA,NA
"347","2024-07-23","Hess Creek","HeCr4","C","3 m","Old soil sampling hole in plot from LC","no",NA,NA,NA,NA,NA
"348","2024-08-06","Dry Creek","DrCr4","C","6 m","","yes","aspen",1,"",0.53,NA
"349","2024-08-05","Dry Creek","DrCr3","B","6 m","","no",NA,NA,NA,NA,NA
"350","2024-07-31","Nugget Creek","NuCr6","C","6 m","","no",NA,NA,NA,NA,NA
"351","2024-08-02","Teklanika ","Tekl6","C","3 m","","no",NA,NA,NA,NA,NA
"352","2024-07-30","Nugget Creek","NuCr2","C","6 m","","no",NA,NA,NA,NA,NA
"353","2024-07-25","Haystack","Hays6","B","9 m","","no",NA,NA,NA,NA,NA
"354","2024-07-18","Lost Horse","LoHo6","B","6 m","","no",NA,NA,NA,NA,NA
"355","2024-07-17","Shovel Creek","ShCr5","A","6 m","","no",NA,NA,NA,NA,NA
"356","2024-07-23","Hess Creek","HeCr6","C","9 m","","no",NA,NA,NA,NA,NA
"357","2024-07-14","Haystack","Hays3","C","3 m","","no",NA,NA,NA,NA,NA
"358","2024-07-29","McCoy Creek","McCr6","C","6 m","","no",NA,NA,NA,NA,NA
"359","2024-07-28","McCoy Creek","McCr5","C","6 m","","no",NA,NA,NA,NA,NA
"360","2024-08-04","Munson Creek","MuCr5","C","3 m","","no",NA,NA,NA,NA,NA
"361","2024-07-22","Hess Creek","HeCr3","C","3 m","","no",NA,NA,NA,NA,NA
"362","2024-07-22","Hess Creek","HeCr1","B","6 m","","no",NA,NA,NA,NA,NA
"363","2024-08-03","Teklanika ","Tekl3","A","3 m","","no",NA,NA,NA,NA,NA
"364","2024-07-31","Nugget Creek","NuCr5","C","6 m","","no",NA,NA,NA,NA,NA
"365","2024-08-02","Teklanika ","Tekl6","B","3 m","","no",NA,NA,NA,NA,NA
"366","2024-07-14","Haystack","Hays3","A","6 m","","no",NA,NA,NA,NA,NA
"367","2024-08-06","Dry Creek","DrCr6","A","3 m","","no",NA,NA,NA,NA,NA
"368","2024-07-14","Haystack","Hays3","B","3 m","","no",NA,NA,NA,NA,NA
"369","2024-08-05","Dry Creek","DrCr3","C","6 m","","no",NA,NA,NA,NA,NA
"370","2024-07-25","Haystack","Hays5","B","3 m","","no",NA,NA,NA,NA,NA
"371","2024-07-15","Lost Horse","LoHo2","C","3 m","","no",NA,NA,NA,NA,NA
"372","2024-08-01","Munson Creek","MuCr1","A","6 m","","no",NA,NA,NA,NA,NA
"373","2024-07-14","Haystack","Hays3","A","9 m","","no",NA,NA,NA,NA,NA
"374","2024-08-04","Munson Creek","MuCr5","B","3 m","","no",NA,NA,NA,NA,NA
"375","2024-07-18","Lost Horse","LoHo4 ","A","9 m","","no",NA,NA,NA,NA,NA
"376","2024-07-22","Hess Creek","HeCr3","C","9 m","","no",NA,NA,NA,NA,NA
"377","2024-08-06","Dry Creek","DrCr6","A","6 m","","no",NA,NA,NA,NA,NA
"378","2024-07-25","Haystack","Hays6","C","9 m","","no",NA,NA,NA,NA,NA
"379","2024-08-01","Munson Creek","MuCr3","A","6 m","","no",NA,NA,NA,NA,NA
"380","2024-08-04","Munson Creek","MuCr4","C","6 m","","no",NA,NA,NA,NA,NA
"381","2024-08-03","Teklanika ","Tekl3","B","6 m","","no",NA,NA,NA,NA,NA
"382","2024-07-17","Shovel Creek","ShCr6","A","3 m","","no",NA,NA,NA,NA,NA
"383","2024-07-14","Haystack","Hays2","B","9 m","","no",NA,NA,NA,NA,NA
"384","2024-07-28","McCoy Creek","McCr1","A","6 m","","no",NA,NA,NA,NA,NA
"385","2024-07-31","Nugget Creek","NuCr4","C","6 m","","no",NA,NA,NA,NA,NA
"386","2024-07-17","Shovel Creek","ShCr6","B","9 m","","no",NA,NA,NA,NA,NA
"387","2024-07-18","Lost Horse","LoHo5","B","9 m","","no",NA,NA,NA,NA,NA
"388","2024-07-15","Lost Horse","LoHo3","C","6 m","","no",NA,NA,NA,NA,NA
"389","2024-08-03","Teklanika ","Tekl3","B","3 m","","no",NA,NA,NA,NA,NA
"390","2024-07-23","Hess Creek","HeCr5","C","6 m","","no",NA,NA,NA,NA,NA
"391","2024-07-23","Hess Creek","HeCr4","B","6 m","LC soil sample hole in plot","no",NA,NA,NA,NA,NA
"392","2024-07-29","McCoy Creek","McCr6","B","3 m","","no",NA,NA,NA,NA,NA
"393","2024-07-18","Lost Horse","LoHo5","A","3 m","","no",NA,NA,NA,NA,NA
"394","2024-08-01","Munson Creek","MuCr2","C","3 m","","no",NA,NA,NA,NA,NA
"395","2024-07-15","Lost Horse","LoHo1","A","3 m","","no",NA,NA,NA,NA,NA
"396","2024-07-18","Lost Horse","LoHo5","B","3 m","","no",NA,NA,NA,NA,NA
