"","project","date","fire_scar","site","plot","species","diameter_cm","decay_class","combustion","cwd_notes"
"28","CCE","2024-07-30","Nugget Creek","NuCr3","C",NA,NA,NA,NA,NA
"29","CCE","2024-08-02","Teklanika ","Tekl5","A",NA,NA,NA,NA,NA
"30","CCE","2024-08-02","Teklanika","Tekl4","C",NA,NA,NA,NA,NA
"31","CCE","2024-07-18","Lost Horse","LoHo6","A","unknown",3.1,"hard",50,""
"32","CCE","2024-07-18","Lost Horse","LoHo6","A","unknown",3.1,"hard",50,""
"33","CCE","2024-07-18","Lost Horse","LoHo6","B",NA,NA,NA,NA,NA
"34","CCE","2024-07-25","Haystack","Hays6","B",NA,NA,NA,NA,NA
"35","CCE","2024-07-31","Nugget Creek","NuCr6","B",NA,NA,NA,NA,NA
"36","CCE","2024-07-14","Haystack","Hays1","A",NA,NA,NA,NA,NA
"37","CCE","2024-08-03","Teklanika","Tekl1","A",NA,NA,NA,NA,NA
"38","CCE","2024-07-15","Lost Horse","LoHo2","C",NA,NA,NA,NA,NA
"39","CCE","2024-07-28","McCoy Creek","McCr1","A",NA,NA,NA,NA,NA
"40","CCE","2024-07-28","McCoy Creek","McCr4","B","unknown",3,"hard",100,""
"41","CCE","2024-08-01","Munson Creek","MuCr3","A",NA,NA,NA,NA,NA
"42","CCE","2024-08-01","Munson Creek","MuCr3","B",NA,NA,NA,NA,NA
"43","CCE","2024-07-29","McCoy Creek","McCr2","A",NA,NA,NA,NA,NA
"44","CCE","2024-08-07","McCoy Creek","McCr3","B",NA,NA,NA,NA,NA
"45","CCE","2024-08-03","Teklanika","Tekl1","B",NA,NA,NA,NA,NA
"46","CCE","2024-08-02","Teklanika","Tekl6","A",NA,NA,NA,NA,NA
"47","CCE","2024-07-22","Hess Creek","HeCr1","B",NA,NA,NA,NA,NA
"48","CCE","2024-08-05","Dry Creek","DrCr3","B","black spruce",2.25,"hard",25,""
"49","CCE","2024-08-02","Teklanika ","Tekl5","A",NA,NA,NA,NA,NA
"50","CCE","2024-07-15","Lost Horse","LoHo2","B",NA,NA,NA,NA,NA
"51","CCE","2024-07-29","McCoy Creek","McCr5","A",NA,NA,NA,NA,NA
"52","CCE","2024-07-31","Nugget Creek","NuCr4","B",NA,NA,NA,NA,NA
"53","CCE","2024-07-16","Shovel Creek","ShCr1","B",NA,NA,NA,NA,NA
"54","CCE","2024-07-14","Haystack","Hays3","B",NA,NA,NA,NA,NA
"55","CCE","2024-08-06","Dry Creek","DrCr6","C",NA,NA,NA,NA,NA
"56","CCE","2024-07-25","Haystack","Hays4","B",NA,NA,NA,NA,NA
"57","CCE","2024-08-01","Munson Creek","MuCr2","C","black spruce",1.09,"hard",75,""
"58","CCE","2024-08-01","Munson Creek","MuCr2","C","black spruce",0.95,"hard",50,""
"59","CCE","2024-08-03","Teklanika ","Tekl2","C",NA,NA,NA,NA,NA
"60","CCE","2024-07-31","Nugget Creek","NuCr6","A",NA,NA,NA,NA,NA
"61","CCE","2024-07-23","Hess Creek","HeCr4","C",NA,NA,NA,NA,NA
"62","CCE","2024-07-31","Nugget Creek","NuCr5","A",NA,NA,NA,NA,NA
"63","CCE","2024-08-01","Munson Creek","MuCr3","C",NA,NA,NA,NA,NA
"64","CCE","2024-07-30","Nugget Creek","NuCr2","B",NA,NA,NA,NA,NA
"65","CCE","2024-07-14","Haystack","Hays1","B",NA,NA,NA,NA,NA
"66","CCE","2024-07-29","McCoy Creek","McCr2","C",NA,NA,NA,NA,NA
"67","CCE","2024-08-06","Dry Creek","DrCr5","C",NA,NA,NA,NA,NA
"68","CCE","2024-07-25","Haystack","Hays4","A",NA,NA,NA,NA,NA
