"","fulcrum_parent_id","date","fire_scar","site","plot","location","location_other","site_notes","resprouts_present","resprout_species","resprout_species_other","resprout_count","resprout_notes","r_bd1","r_bd2","r_bd3","photos"
"231","94ef6895-e8f2-416d-8c06-a91d85971bd4","2024-07-23","Hess Creek","HeCr4","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"1cdbeec2-1df7-4e9f-8ccc-61c4a203078d"
"232","94f887dc-6856-4420-a4ec-a9dfedada742","2024-07-25","Haystack","HAYS6","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"91fe4f4b-4cfa-4a8b-9f82-c2c5d0de87a1"
"233","95355616-e8ae-4360-9176-f56f28ee3fc4","2024-07-15","Lost Horse","LoHo2","A","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"a6e105d8-96b0-4c2a-85b4-5f5475c86663"
"234","9722a22f-6318-4e14-89ef-efdab2460a2f","2024-08-05","Dry Creek","DrCr3","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"761a66fa-3580-4721-ab73-b7cb144e772e"
"235","9785d587-694e-4314-bcb4-df9c49111ebd","2024-08-01","Munson Creek","MuCr1","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"903ed948-26b1-447e-81b7-ab62365000de"
"236","978d091a-e0c5-4f6a-ad3b-eb905c2ffd7e","2024-07-15","Lost Horse","LoHo3","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"0f611bcb-96a9-4f8b-a679-a7e90dc84ae4"
"237","98103400-7929-4476-9bd1-737c2e869546","2024-07-14","Haystack","Hays3","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"f3d6c3e8-b0b9-45f4-bf84-ad7f18dd597a"
"238","98141fbe-42b4-4b35-97f1-e59e37618246","2024-07-16","Shovel creek","ShCr3","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"c11bcdac-3483-42d1-94c7-9ddc4a73922b"
"239","98218bed-9536-4ffd-b364-581d836425a5","2024-08-03","Teklanika ","Tekl2","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"f8fbf2ee-eee9-42bb-a199-b2c1ce150379"
"240","9b5c336d-a613-4285-984c-8f7652adffde","2024-08-01","Munson Creek","MuCr3","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"5973098b-819e-47ae-8a5c-263f09ce7f84"
"241","9cf9c1a3-1973-4760-afc7-26f9b54da072","2024-07-16","Shovel creek","ShCr3","B","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"bb6c5c13-8156-4a2a-9f2b-a93953d8b849"
"242","9d08a868-b40b-4537-801d-7367d07f687d","2024-07-22","Hess Creek","HeCr1","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"f1b902fb-f79b-4cab-b266-0f376cee247c"
"243","9d8af078-0dec-4120-a170-2417cb03200b","2024-07-29","McCoy Creek","MCCR2","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"5f25d2f6-fb37-412f-b8df-a406a3995728"
"244","9dacd12a-992b-42b5-8f8a-5c6762a5c68b","2024-07-28","McCoy Creek","MCCR1","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"853366fd-2d0e-401f-9e02-aef2844e3292"
"245","9ddb5662-267e-41ba-b530-6d2760cd2d27","2024-07-16","Shovel creek","ShCr3","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"24f5ddee-543c-48f2-8ea3-ace9fcf52b6d"
"246","9ea834de-9123-4a1a-b642-e885fe2115dd","2024-07-29","McCoy Creek","MCCR2","B","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"382a797e-4bcd-4c11-b029-fa11e5638576"
"247","9f1f7460-71ff-489f-9863-bf6143bfa198","2024-07-16","Shovel creek","ShCr4","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"2bffb0a5-15c3-497a-945f-3523eb66f8cf"
"248","9fe13dd6-c98c-4545-aaa2-70c5ee02875a","2024-07-23","Hess Creek","HeCr6","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"5a217970-d173-4e2f-91b1-7bf83fd66970"
"249","a0975d6a-ffb1-47a4-8243-b2f727c0b3cc","2024-07-29","McCoy Creek","MCCR6","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"90c1dcb2-b45c-4042-93be-727d98a17151"
"250","a260d619-b331-4d71-93ba-f5d2ba858c36","2024-07-15","Lost Horse","LoHo1","C","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"0d3735dc-f25e-49bb-9f6c-10d314c3780d"
"251","a312e114-7f02-4bcb-b1f6-6ef894b494d6","2024-07-29","McCoy Creek","MCCR6","C","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"bedb9191-52aa-474a-a6ae-ede2603691b6"
"252","a49db5b9-f978-4e1e-a2c9-33b22eaff795","2024-08-01","Munson Creek","MuCr1","C","9 m",NA,"Added extra quadrat to capture seedlings. Did not collect data for anything other than seedlings. ","no",NA,NA,NA,NA,NA,NA,NA,"4537a6a2-4f68-4f7b-8cb0-24f9e3bf8cce"
"253","a4b15f42-4b42-44b3-b295-b98f49a4d094","2024-07-25","Haystack","HAYS5","A","3 m",NA,"","no",NA,NA,NA,NA,NA,NA,NA,"5f8dd171-01ec-4e84-984d-ab6cbcc5d63a"
