"","fulcrum_parent_id","date","fire_scar","site","plot","location","location_other","site_notes","shrub_regen_present","shrub_regen_species","shrub_regen_count","shrub_notes","s_bd1","s_bd2","s_bd3","photos"
"119","4102ab15-efe2-4e7d-a983-f76ec26e48c1","2024-08-06","Dry Creek","DrCr4","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,"adc01f4c-16b4-4c6b-8a16-4067aab92008"
"120","42b9048e-508c-4b2f-b7b8-f2f7508aae86","2024-07-25","Haystack","HAYS4","A","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,"9cbe83c6-807a-47d7-b119-a5ec0015451e"
"121","42f828cf-e332-4726-a4f8-a51e13ba002a","2024-07-22","Hess Creek","HeCr3","A","9 m",NA,"","no",NA,NA,NA,NA,NA,NA,"d64db30b-f4ab-4300-bb13-40fc8708a050"
"122","4407dd87-cd2c-4fdc-9d95-9cb142d45ad8","2024-08-02","Teklanika ","Tekl6","B","6 m",NA,"","yes","Salix",1,"",0.15,NA,NA,"17a20a54-b251-4ce6-a4f3-f64df932376f"
"123","4461e4e2-63bb-41a5-8680-2893fb74ec46","2024-08-01","Munson Creek","MuCr1","C","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,"ed855a1e-4404-4bab-94a4-33b27f867041"
"124","44795b55-fc43-49a8-969f-0d8ee3e5385e","2024-07-25","Haystack","HAYS5","C","6 m",NA,"","yes","Salix",1,"",1.29,NA,NA,"80983992-08aa-4bef-8395-81d002cfaed5"
"125","44795b55-fc43-49a8-969f-0d8ee3e5385e","2024-07-25","Haystack","HAYS5","C","6 m",NA,"","yes","Salix",7,"",0.64,1.15,0.93,"80983992-08aa-4bef-8395-81d002cfaed5"
"126","453d841b-dad9-4105-9f2f-901b2189dd7c","2024-08-02","Teklanika ","Tekl5","A","6 m",NA,"","no",NA,NA,NA,NA,NA,NA,"19613188-dce6-41ec-9bfc-8484da217be6,eb376e58-4529-45e3-b514-ff858fa24aa5"
"127","464f9490-0ccb-4d69-adf1-710def74e82b","2024-07-22","Hess Creek","HeCr3","B","9 m",NA,"","yes","Salix",1,"",0.15,NA,NA,"9dd0c5a3-d969-4080-84c5-191af8cad6cf"
"128","46d05d32-dfb6-45cd-b517-c4dab84be5aa","2024-07-22","Hess Creek","HeCr2","A","6 m",NA,"","yes","Salix",1,"",0.82,NA,NA,"687ded11-3e39-4664-8af3-19d6e585c312"
