"","date","fire_scar","site","plot","tree_species","standing","snag_pre_fire","dbh","basal_diameter","cone_combustion","foliage_combustion","fine_combustion","coarse_combustion","stem_combustion","count","livedead","tree_notes"
"82","2024-08-04","Munson Creek","MuCr5","B","birch","no","no",0.6,NA,NA,0,0,0,0,NA,"",""
"83","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","no",NA,2.4,NA,100,100,25,0,NA,"",""
"84","2024-08-04","Munson Creek","MuCr5","B","birch","yes","no",NA,2.4,NA,0,0,0,0,NA,"",""
"85","2024-08-04","Munson Creek","MuCr5","B","birch","no","no",NA,0.9,NA,0,0,0,0,2,"",""
"86","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","no",NA,1.9,NA,100,100,100,25,NA,"",""
"87","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","no",NA,1.2,NA,75,75,50,0,NA,"",""
"88","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","no",NA,0.9,NA,100,100,75,0,NA,"",""
"89","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","no",NA,1.6,NA,100,100,75,0,NA,"",""
"90","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","no",2.1,NA,NA,0,0,0,0,NA,"",""
"91","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","yes",9.4,NA,NA,NA,NA,NA,25,NA,"",""
"92","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","no",NA,1.1,NA,100,100,50,0,NA,"",""
"93","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","no",0.8,NA,NA,75,75,50,0,NA,"",""
"94","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","no",0.6,NA,NA,75,75,50,0,NA,"",""
"95","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","no",NA,1.8,NA,75,75,25,0,NA,"",""
"96","2024-08-04","Munson Creek","MuCr5","B","black spruce","yes","no",0.8,NA,NA,75,75,25,0,NA,"",""
"97","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",4.1,NA,0,0,0,0,0,NA,"",""
"98","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,1.6,NA,75,75,50,0,4,"",""
"99","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,0.6,NA,75,75,50,0,3,"",""
"100","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",NA,2.2,NA,50,50,0,0,NA,"",""
"101","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",2.2,NA,NA,25,25,0,0,NA,"",""
"102","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",0.7,NA,NA,75,75,75,0,NA,"",""
"103","2024-08-01","Munson Creek","MuCr3","B","black spruce","yes","no",1.3,NA,NA,25,25,0,0,NA,"",""
