sample_id,field_id,fire,site,plot,soil_depth_top_cm,soil_depth_bottom_cm,initial_mass_g,pre_homo_subsample_mass_g,cn_d1,cn_d2,cn_w1,cn_w2,cn_l1,cn_l2,homogenized_soil_mass_g,subsample_fine_wet_mass_g,coarse_wet_mass_g,rock_weight_g,rock_volume_ml,subsample_fine_dry_mass_g,coarse_dry_mass_g,N_weight_per,C_weight_per
LC_4182,Isom70A,Isom,70,A,0,5,1244.67,82.86,5,5,6,5.5,9,9,48.78,48.78,27.61,NA,NA,15.63,10.84,1.14,45.6
LC_4183,Isom70A,Isom,70,A,5,10,1244.67,118.18,5,5,5,5,9.5,9.5,99.02,50.02,8.25,NA,NA,7.95,2.91,1.4,44.45
LC_4184,Isom70A,Isom,70,A,10,15,1244.67,180.29,5,5,5.5,5,9,8.5,146,49.99,21.48,NA,NA,14,5.21,0.93,23.85
LC_4185,Isom70A,Isom,70,A,15,20,1244.67,243.53,5,5,5.5,5,9,9,229.2,50.01,6.38,NA,NA,26.14,2.77,0.51,11.45
LC_4186,Isom70A,Isom,70,A,20,25,1244.67,51.19,2,2,4.5,4.5,6.5,6.5,47.24,46.13,1.97,NA,NA,23.59,1.02,0.55,13.21
LC_4187,BitCosLil47A,BitzshitiniCosnaLittle,47,A,0,5,987.68,46.22,5,5,5.5,5,9,10,25.81,25.3,12.13,NA,NA,9.68,5.15,1.38,44.87
LC_4188,BitCosLil47A,BitzshitiniCosnaLittle,47,A,5,10,987.68,137.75,5,5,5,4.5,11,10.5,115.57,49.95,9.97,NA,NA,16.66,4.22,1.37,34.47
LC_4189,BitCosLil47A,BitzshitiniCosnaLittle,47,A,10,15,987.68,254.15,5,5,5.5,5,11,11,227.84,50.15,18.54,NA,NA,18.71,6.48,0.99,22.39
LC_4190,BitCosLil47A,BitzshitiniCosnaLittle,47,A,15,20,987.68,81.17,1.5,1.5,4.5,4.5,10.5,10,77.32,49.99,0.44,NA,NA,29.5,0.25,0.41,10.33
LC_4191,MudNowDir66C,MudNowitnaDirt,66,C,0,5,450.27,194.27,5,5,4,5,10.5,11,157.38,50.12,25.23,NA,NA,38.62,18.02,0.28,4.29
LC_4192,MmBon4C,MmBonanza,4,C,0,5,471.28,162.53,5,5,6,5,11,11,132.09,49.95,16.08,NA,NA,13.57,6.47,0.97,39.79
LC_4193,MmBon4C,MmBonanza,4,C,5,10,471.28,112.24,3,3,5.5,5,10.5,9,100.46,50.34,10.14,NA,NA,28.07,5.97,0.28,7.64
LC_4194,DragMooTrip27A,DragonMooseheart,27,A,0,5,335.14,89.12,5,5,6.5,6,11,10.5,72.67,50.03,6.75,NA,NA,28.13,4.2,0.97,30.33
LC_4195,DragMooTrip27A,DragonMooseheart,27,A,5,10,335.14,68.61,1.5,1.5,6,5.5,11,11,57.1,50.1,6.86,NA,NA,26.97,3.45,0.71,19.63
LC_4196,SnoEag63A,SnohomishEagle,63,A,0,5,238.4,116.48,4.5,4.5,5,4,8,10,108.35,50.01,4.18,NA,NA,40.17,2.67,0.26,5.97
LC_4197,Isom1A,Isom,1,A,0,5,269.51,119.04,5,5,6,6,11.5,11.5,94.41,49.98,12.07,NA,NA,15.59,4.81,1.17,36.06
LC_4198,Isom1A,Isom,1,A,5,10,269.51,57.36,2,2,5,4.5,10,8,47.53,46.18,4.37,NA,NA,16.82,1.6,0.87,20.29
LC_4199,DragMooTrip28B,DragonMooseheart,28,B,0,5,168.17,96.85,4,4,5.5,5,10,10,82.26,50.32,8.14,NA,NA,33.48,5.23,0.69,17.94
LC_4200,SnoEag61B,SnohomishEagle,61,B,0,5,323.32,51.41,5,5,6,5.5,10,10,32.6,32.6,9.84,NA,NA,15.66,4.47,1.5,45.68
LC_4201,SnoEag61B,SnohomishEagle,61,B,5,10,323.32,88.18,5,5,6,6,9,9.5,66.48,49.98,10.98,NA,NA,17.17,4.54,1.38,45.49
LC_4202,SnoEag61B,SnohomishEagle,61,B,10,15,323.32,40.09,3,2.5,4.5,4.5,9,9,32.72,32.37,3.2,NA,NA,11.75,1.3,1.44,38.12
LC_4203,MmBon8B,MmBonanza,8,B,0,5,738.04,77.58,5,5,6.5,7,12,11.5,59.5,49.98,8.31,NA,NA,9.01,2.13,1.17,46.65
LC_4204,MmBon8B,MmBonanza,8,B,5,10,738.04,187.86,5,5,5.5,6.5,12,12,112.86,50.24,61.32,NA,NA,8.52,12.22,1.56,40.78
