fire,site,plot,date,location,org_depth,org_hit,ar_sol_depth,ar_sol_hit,ar_height,thaw_d,thaw_hit
BearFish,68469,C,7/19/2022,2.5 m,0,Mineral,NA,,NA,NA,
BearFish,68469,C,7/19/2022,7.5 m,0,Mineral,NA,,NA,NA,
BearFish,6887,A,7/19/2022,2.5 m,5.5,Mineral,NA,,NA,NA,
BearFish,6887,A,7/19/2022,7.5 m,2.5,Mineral,NA,,NA,NA,
BearFish,6887,B,7/19/2022,2.5 m,0,Mineral,NA,,NA,NA,
BearFish,6887,B,7/19/2022,7.5 m,0,Mineral,NA,,NA,NA,
BearFish,6887,C,7/19/2022,2.5 m,2,Mineral,NA,,NA,NA,
BearFish,6887,C,7/19/2022,7.5 m,0.25,Mineral,NA,,NA,NA,
BigTractor,101,A,7/20/2022,7.5 m,0,Mineral,NA,,NA,NA,
BigTractor,101,A,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,101,B,7/20/2022,2.5 m,0.25,Mineral,NA,,NA,NA,
BigTractor,101,B,7/20/2022,7.5 m,2.5,Mineral,NA,,NA,NA,
BigTractor,101,C,7/20/2022,7.5 m,1.5,Mineral,NA,,NA,NA,
BigTractor,101,C,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,145,A,7/20/2022,7.5 m,0,Mineral,NA,,NA,NA,
BigTractor,145,A,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,145,B,7/20/2022,7.5 m,0.5,Mineral,NA,,NA,NA,
BigTractor,145,B,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,145,C,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,145,C,7/20/2022,7.5 m,0,Mineral,NA,,NA,NA,
BigTractor,158,A,7/20/2022,7.5 m,0,Mineral,NA,,NA,NA,
BigTractor,158,A,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,158,B,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,158,B,7/20/2022,7.5 m,0,Mineral,NA,,NA,NA,
BigTractor,158,C,7/20/2022,7.5 m,0,Mineral,NA,,NA,NA,
BigTractor,158,C,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,262,A,7/20/2022,7.5 m,0,Mineral,0,Mineral,10.25,NA,
BigTractor,262,A,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,262,B,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,262,B,7/20/2022,7.5 m,0,Mineral,NA,,NA,NA,
BigTractor,262,C,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,262,C,7/20/2022,7.5 m,0,Mineral,NA,,NA,NA,
BigTractor,39,A,7/20/2022,2.5 m,0,Mineral,NA,,NA,NA,
BigTractor,39,A,7/20/2022,7.5 m,0,Mineral,NA,,NA,NA,
BigTractor,39,B,7/20/2022,2.5 m,0,Mineral,0,,5,NA,
BigTractor,39,B,7/20/2022,7.5 m,0,Mineral,NA,,NA,NA,
BigTractor,39,C,7/20/2022,7.5 m,0,Mineral,0,,7,NA,
