date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,alive,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,tree_notes
7/23/2022,FrozenFish,953,A,aspen,yes,yes,no,5.4,NA,NA,100,100,100,0,
7/23/2022,FrozenFish,1202,A,aspen,yes,yes,no,1.5,NA,NA,100,100,100,0,
7/24/2022,FrozenCalf,268,B,black spruce,yes,yes,no,3.1,NA,NA,100,100,100,0,
7/24/2022,FrozenCalf,268,C,black spruce,yes,yes,no,8.2,NA,NA,100,100,100,0,
7/24/2022,FrozenCalf,268,C,black spruce,yes,yes,no,9.2,NA,NA,100,100,75,0,
7/24/2022,FrozenCalf,360,B,black spruce,yes,yes,no,9,NA,NA,100,100,100,25,25% stem
7/24/2022,FrozenCalf,360,A,black spruce,yes,yes,no,6.1,NA,NA,100,100,100,50,Stem 50%
7/24/2022,FrozenCalf,360,C,black spruce,no,yes,no,4.9,NA,NA,100,100,100,50,50% stem
7/24/2022,FrozenCalf,755,A,black spruce,no,yes,no,9.2,NA,NA,100,100,100,50,Stem 50%
7/24/2022,FrozenCalf,755,B,black spruce,no,yes,no,5.1,NA,100,100,100,50,0,
7/26/2022,PreachPreacher,281,B,unknown,no,yes,no,2.1,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,281,A,white spruce,yes,yes,no,2.8,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,281,A,white spruce,yes,yes,no,5.9,NA,NA,100,75,50,0,
7/26/2022,PreachPreacher,281,A,white spruce,no,yes,no,4.9,NA,NA,100,75,50,0,
7/26/2022,PreachPreacher,281,A,white spruce,no,yes,no,6.1,NA,NA,75,75,50,0,
7/26/2022,PreachPreacher,281,A,white spruce,yes,yes,no,14.2,NA,100,50,50,50,0,
7/26/2022,PreachPreacher,281,A,white spruce,no,yes,no,7.5,NA,NA,50,50,25,0,
7/26/2022,PreachPreacher,281,B,white spruce,no,yes,no,5.9,NA,NA,25,25,25,0,
7/26/2022,PreachPreacher,281,B,white spruce,yes,yes,no,9.1,NA,NA,25,25,0,0,
7/26/2022,PreachPreacher,483,B,white spruce,no,yes,no,23.2,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,918,B,white spruce,no,yes,no,31,NA,NA,100,100,100,25,Stem 25%
7/26/2022,PreachPreacher,918,B,white spruce,yes,yes,no,3.2,NA,NA,100,100,100,50,50% stem
7/26/2022,PreachPreacher,918,A,white spruce,no,yes,no,0.5,NA,NA,50,50,0,0,
7/26/2022,PreachPreacher,918,C,white spruce,yes,yes,no,6.2,NA,NA,25,25,0,25,Stem 25%
7/26/2022,PreachPreacher,918,A,white spruce,no,yes,no,4.4,NA,NA,25,25,0,0,
7/26/2022,PreachPreacher,918,C,white spruce,no,yes,no,3,NA,NA,25,25,0,0,
7/26/2022,PreachPreacher,918,C,white spruce,no,yes,no,1,NA,NA,0,0,0,0,
7/26/2022,PreachPreacher,8675309,C,black spruce,no,yes,no,6,NA,NA,100,100,100,25,Stem 25%
7/26/2022,PreachPreacher,8675309,C,black spruce,no,yes,no,8.6,NA,NA,100,100,100,25,Stem 25%
7/26/2022,PreachPreacher,8675309,A,black spruce,no,yes,no,4,NA,NA,100,100,100,25,Stem 25%
7/26/2022,PreachPreacher,8675309,B,black spruce,yes,yes,no,7.3,NA,NA,100,100,100,25,Stem 25%
7/26/2022,PreachPreacher,8675309,B,black spruce,no,yes,no,11.5,NA,NA,100,100,100,25,Stem 25%
7/26/2022,PreachPreacher,8675309,B,black spruce,yes,yes,no,6.5,NA,NA,100,100,100,50,Stem 50%
7/26/2022,PreachPreacher,8675309,B,black spruce,yes,yes,no,5.5,NA,NA,100,100,100,50,Stem 50%
7/26/2022,PreachPreacher,8675309,B,black spruce,yes,yes,no,5.9,NA,NA,100,100,100,50,Stem 50%
7/26/2022,PreachPreacher,8675309,C,black spruce,yes,yes,no,3,NA,NA,100,100,100,75,Stem 75%
7/26/2022,PreachPreacher,8675309,A,black spruce,no,yes,no,NA,3.5,NA,100,100,100,75,75% stem
7/26/2022,PreachPreacher,8675309,A,black spruce,no,yes,no,9.1,NA,NA,100,100,100,75,Stem 75%
7/26/2022,PreachPreacher,8675309,C,black spruce,no,yes,no,1.6,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,8675309,C,black spruce,no,yes,no,4.8,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,8675309,A,black spruce,yes,yes,no,0.4,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,8675309,A,black spruce,yes,yes,no,1,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,8675309,A,black spruce,no,yes,no,9.3,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,8675309,B,black spruce,no,yes,no,0.5,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,8675309,B,black spruce,no,yes,no,1,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,8675309,B,black spruce,no,yes,no,0.5,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,8675309,B,black spruce,no,yes,no,2.5,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,8675309,B,black spruce,yes,yes,no,7.5,NA,NA,100,100,100,0,
7/26/2022,PreachPreacher,8675309,B,black spruce,no,yes,no,3.1,NA,NA,100,100,75,0,
7/26/2022,PreachPreacher,8675309,B,black spruce,yes,yes,no,1.9,NA,NA,100,100,75,0,
7/26/2022,PreachPreacher,8675309,A,black spruce,yes,yes,no,0.9,NA,NA,50,50,50,0,X2
7/26/2022,PreachPreacher,8675309,A,black spruce,yes,yes,no,0.9,NA,NA,50,50,50,0,R
7/26/2022,PreachPreacher,8675309,B,black spruce,no,yes,no,8,NA,NA,25,25,0,0,
7/26/2022,PreachPreacher,8675309,B,black spruce,yes,yes,no,7.2,NA,25,0,0,0,0,
7/27/2022,Marr,2957,A,black spruce,yes,yes,no,7.9,NA,NA,100,100,100,25,Stem = 25%
