date,fire_scar,site,plot,tree_species,standing,snag_pre_fire,alive,dbh,basal_diameter,cone_combustion,foliage_combustion,fine_combustion,coarse_combustion,stem_combustion,tree_notes
7/5/2021,Shovel,26,A,black spruce,no,NA,no,2.3,NA,NA,0,0,75,NA,
7/5/2021,Shovel,26,A,black spruce,no,NA,no,2.2,NA,NA,75,75,25,NA,
7/5/2021,Shovel,26,A,black spruce,no,NA,no,1.6,NA,NA,100,100,50,NA,
7/5/2021,Shovel,26,A,black spruce,no,NA,no,1,NA,NA,75,75,25,NA,
7/5/2021,Shovel,26,A,black spruce,no,NA,no,0.4,NA,75,100,75,75,NA,
7/5/2021,Shovel,26,A,black spruce,yes,NA,no,NA,2.66,NA,100,100,100,NA,
7/5/2021,Shovel,26,A,black spruce,yes,NA,no,NA,0.36,NA,100,100,75,NA,
7/5/2021,Shovel,26,B,black spruce,no,NA,no,5.9,NA,25,75,75,25,NA,
7/5/2021,Shovel,26,B,black spruce,no,NA,no,5.2,NA,50,75,75,25,NA,
7/5/2021,Shovel,26,B,black spruce,no,NA,no,5,NA,NA,75,75,25,NA,
7/5/2021,Shovel,26,B,black spruce,yes,NA,no,4.9,NA,25,75,75,25,NA,
7/5/2021,Shovel,26,B,black spruce,no,NA,no,4.9,NA,75,50,50,25,NA,
7/5/2021,Shovel,26,B,black spruce,no,NA,no,4.8,NA,50,75,75,25,NA,
7/5/2021,Shovel,26,B,black spruce,no,NA,no,4.2,NA,NA,75,75,25,NA,
7/5/2021,Shovel,26,B,black spruce,no,NA,no,4,NA,25,75,75,25,NA,
7/5/2021,Shovel,26,B,black spruce,no,NA,no,3.8,NA,75,75,75,25,NA,
7/5/2021,Shovel,26,B,black spruce,yes,NA,no,3.5,NA,NA,100,100,25,NA,
7/5/2021,Shovel,26,B,black spruce,no,NA,no,3.3,NA,NA,75,75,25,NA,
7/5/2021,Shovel,26,B,black spruce,no,NA,no,2.1,NA,NA,50,50,25,NA,
7/5/2021,Shovel,26,B,black spruce,no,NA,no,1.7,NA,NA,100,100,50,NA,
7/5/2021,Shovel,26,B,black spruce,no,NA,no,1.3,NA,NA,75,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,yes,NA,no,12.3,NA,25,25,25,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,5.8,NA,25,75,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,yes,NA,no,5.5,NA,25,25,25,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,5.3,NA,25,50,50,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,4.8,NA,25,75,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,4,NA,75,75,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,3.9,NA,75,75,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,3.9,NA,75,75,75,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,3.9,NA,75,50,50,25,NA,
7/5/2021,Shovel,26,C,black spruce,no,NA,no,3.7,NA,25,50,50,25,NA,
