_record_id,_title,_server_updated_at,_updated_by,_geometry,date,fire_scar,site,plot,disk_label,disk_species,disk_sample_diameter,disk_height,disk_notes
7ab10de0-8752-436b-b2e8-33c971eee82a,"GLOB4 , B",2025-07-24 17:57:08 UTC,Xanthe Walker,,2025-07-23,Globe,GLOB4 ,B,GLOB4 b,black spruce,16.6,4,
5cdbdd36-35fd-48ae-9f14-e2cc1168eae3,"GLOB4 , C",2025-07-24 17:57:08 UTC,Xanthe Walker,,2025-07-23,Globe,GLOB4 ,C,GLOB4 c,black spruce,11.4,4,
19a1c970-2e4b-473e-a55f-bd2f07f9ca61,"GLOB5 , A",2025-07-24 17:57:08 UTC,Xanthe Walker,,2025-07-23,Globe,GLOB5 ,A,GLOB5 a6,black spruce,9.2,6,
ca55abc9-0cb4-474a-be1d-e0f9b2e2f680,"GLOB5 , B",2025-07-24 17:57:09 UTC,Xanthe Walker,,2025-07-23,Globe,GLOB5 ,B,GLOB5 b,black spruce,11.1,9,
30788d17-9fb3-4deb-a6f5-5c5a95949df3,"GLOB5 , C",2025-07-24 17:57:09 UTC,Xanthe Walker,,2025-07-23,Globe,GLOB5 ,C,GLOB5 c,black spruce,9.5,7,
c64ed091-d078-4b78-b805-92ecd56458bf,"GLOB6, A",2025-07-27 00:26:14 UTC,Xanthe Walker,,2025-07-23,Globe,GLOB6,A,GLOB6 A6,black spruce,9.8,5,
81701018-f1c8-448a-ac99-d46f349f0bfc,"GLOB6, B",2025-07-24 17:57:10 UTC,Xanthe Walker,,2025-07-23,Globe,GLOB6,B,GLOB6 B6,black spruce,14.3,4,
f46f7601-9465-4dcd-a248-04769de97769,"GLOB6, C",2025-07-24 17:57:10 UTC,Xanthe Walker,,2025-07-23,Globe,GLOB6,C,GLOB6 C6,black spruce,14.1,1,
b1aca7c7-2e81-4c29-8810-157cb8539e11,"MCDO1, A",2025-07-26 03:14:42 UTC,Xanthe Walker,,2025-07-25,McDonald,MCDO1,A,MCDO1 A6,black spruce,15.8,10,
1b342c7e-4830-4b5b-951d-7e213ba02651,"MCDO1, B",2025-07-26 03:14:42 UTC,Xanthe Walker,,2025-07-25,McDonald,MCDO1,B,MCDO1 B6,black spruce,8.6,4,
b8ec808d-4888-416e-ba45-745532088c99,"MCDO1, C",2025-07-26 03:14:43 UTC,Xanthe Walker,,2025-07-25,McDonald,MCDO1,C,MCDO1 C6,black spruce,9.2,3,
75290ed4-26fb-45da-b2f4-43591c635db1,"MCDO2, A",2025-07-26 03:14:43 UTC,Xanthe Walker,,2025-07-25,McDonald,MCDO2,A,MCDO2 A6,black spruce,7.4,5,
78b809a6-7fef-46b1-bd09-aa34bb1d86f4,"MCDO2, B",2025-07-26 03:45:03 UTC,Xanthe Walker,,2025-07-25,McDonald,MCDO2,B,MCDO2 B6,black spruce,9.75,5,
7b7fdd5d-a195-465a-9775-55af5ed6647d,"MCDO2, C",2025-07-26 03:53:33 UTC,Xanthe Walker,,2025-07-25,McDonald,MCDO2,C,MCDO2 C6,black spruce,6,6,
30973baa-0218-4123-88a2-e509707d9a7e,"MCDO3, A",2025-07-26 03:14:41 UTC,Xanthe Walker,,2025-07-25,McDonald,MCDO3,A,MCDO3 A6,black spruce,8.4,7,
b7228e5e-4a78-4ac9-8fcd-83cefcdad6ec,"MCDO3, B",2025-07-26 03:14:41 UTC,Xanthe Walker,,2025-07-25,McDonald,MCDO3,B,MCDO3 B6,black spruce,10.7,7,
a27fbf81-c766-42cb-a32a-51a4837e6324,"MCDO3, C",2025-07-26 03:14:40 UTC,Xanthe Walker,,2025-07-25,McDonald,MCDO3,C,MCDO3 C6,black spruce,7.3,6,
d2ed1be5-37ab-4493-b9d9-688f11f85407,"MCDO4, A",2025-07-30 04:26:05 UTC,Xanthe Walker,,2025-07-29,McDonald,MCDO4,A,MCDO4 A6,black spruce,7,3,
b7e4b2dc-3a4f-4ed1-bd74-09671aa92d77,"MCDO4, B",2025-07-30 04:26:05 UTC,Xanthe Walker,,2025-07-29,McDonald,MCDO4,B,MCDO4 B6,black spruce,5.4,2,
456db0e9-b2f5-4952-a533-52a48acdb46e,"MCDO4, C",2025-07-30 04:26:06 UTC,Xanthe Walker,,2025-07-29,McDonald,MCDO4,C,MCDO4 C6,black spruce,7.9,2,
b0451b32-d11b-422b-9a09-c8fcad19103c,"MCDO5, A",2025-07-30 04:26:06 UTC,Xanthe Walker,,2025-07-29,McDonald,MCDO5,A,MCDO5 A6,black spruce,6.2,13,
44fd8705-433e-42b4-994e-24ad9c7d366f,"MCDO5, B",2025-07-30 04:26:07 UTC,Xanthe Walker,,2025-07-29,McDonald,MCDO5,B,MCDO5 B6,black spruce,6.7,3.5,
e863b743-64e5-4923-a9bc-fdf774600aed,"MCDO5, C",2025-07-30 04:26:07 UTC,Xanthe Walker,,2025-07-29,McDonald,MCDO5,C,MCDO5,black spruce,8.6,1,
cf4ad149-3898-4dfc-8030-bd707fbed698,"MCDO6, A",2025-07-30 04:26:08 UTC,Xanthe Walker,,2025-07-29,McDonald,MCDO6,A,MCDO6 A6,black spruce,7.3,1,
83f681bb-0085-4b99-a23a-babbf145ee10,"MCDO6, B",2025-07-30 04:26:08 UTC,Xanthe Walker,,2025-07-29,McDonald,MCDO6,B,MCDO6 B6,black spruce,5.3,1,
9b808277-d8b7-41c1-a627-bee642f17032,"MCDO6, C",2025-07-30 04:26:09 UTC,Xanthe Walker,,2025-07-29,McDonald,MCDO6,C,MCDO6 C6,black spruce,9.4,2,
940a412d-f90d-41aa-ac6e-c1e65f7121c3,"SLAT1, A",2025-07-27 01:15:38 UTC,Xanthe Walker,,2025-07-26,Slate,SLAT1,A,A6,black spruce,13,4,
