"","project","date","fire_scar","site","plot","green_moss","depth1","org_hit","thaw_d","thaw_hit","ar_sol_depth1","ar_sol_hit","ar_height1","ar_height2","ar_height3","collected","sample_id","sample_depth1","sample_depth2","sample_width1","sample_width2","sample_length1","sample_length2","organic_notes","m1_depth1","m2_depth1","min_coregrab","mineral_notes","general_notes","sample_photo"
"257","CCE","2024-07-16","Shovel Creek","ShCr2","B",NA,8,"Mineral",75,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"258","CCE","2024-07-16","Shovel Creek","ShCr2","B",NA,7,"Mineral",22,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"259","CCE","2024-07-15","Lost Horse","LoHo1","C",NA,14.5,"Mineral",63,"Rock",0.5,"Mineral",12,15,16,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"260","CCE","2024-07-15","Lost Horse","LoHo1","C",NA,11.5,"Mineral",21,"Rock",12.5,"Mineral",11,10,8,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"261","CCE","2024-07-15","Lost Horse","LoHo1","C",NA,5,"Mineral",32,"Rock",1.5,"Mineral",5,7,6.5,"yes","LoHo1C",4.5,5,9,9,10,10,"",5,5,"Core","","",""
"262","CCE","2024-07-16","Shovel Creek","ShCr1","A",NA,52,"Rock",52,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"263","CCE","2024-07-16","Shovel Creek","ShCr1","A",NA,23,"Mineral",48,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"264","CCE","2024-07-16","Shovel Creek","ShCr1","A",NA,17.5,"Mineral",32,"Rock",NA,"",NA,NA,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",""
"265","CCE","2024-08-06","Dry Creek","DrCr4","A",0,4,"Mineral",90,"Mineral",4,"Mineral",9,8,8,"yes","DrCr4A",4.5,3,10,10,9.5,9.5,"",5,5,"Core","","Thaw depth I think was still mineral, but extremely dense and hard to push through, so couldn’t get it any further",""
"266","CCE","2024-08-06","Dry Creek","DrCr4","A",0,6.5,"Mineral",73,"Mineral",6,"Mineral",10,9,10,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","Same problem here with dense mineral, hard time getting probe deep ",""
"267","CCE","2024-08-02","Teklanika","Tekl4","C",0,10,"Mineral",24,"Rock",11,"Mineral",3,3,NA,"yes","Tekl4C",12,10,9,10,9,9.5,"",5,5,"Core","","","39bc04a7-284e-4933-ad4b-5878b7086ec0"
"268","CCE","2024-08-02","Teklanika","Tekl4","C",0,11,"Mineral",27,"Rock",11,"Mineral",2,1,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","AR and transect same depth hole",""
"269","CCE","2024-07-31","Nugget Creek","NuCr5","B",NA,3,"Mineral",46,"Rock",6.5,"Mineral",36,33.5,34,"yes","NuCr5B",3,2,10,8.5,9,9,"",5,5,"Both","M1 sample is volumetric, M2 sample is grab sample using area of corer but unable to get intact core due to rocks and crumbly soil. M2 depth is estimated and not sampled volumetrically","1 cm rock between organic and mineral removed while sampling, AR depths taken on downed tree to bottom of tree roots",""
"270","CCE","2024-07-31","Nugget Creek","NuCr5","B",NA,8.5,"Mineral",53,"Rock",7.5,"Mineral",23,18.5,NA,"no","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","AR depths on downed tree to bottom of tree roots",""
